STATIONID,PARAMETER,n,tau,mk_p,sen_slope,sen_ci_lower,sen_ci_upper,TREND
CANCAND,SPCD_epi,38,0.6975090734689687,7.83932067832427e-10,1.1217391304347826,0.85,1.3482758620689659,Worsening
CANCAND,CHL_comp,38,-0.24679130401365174,0.03052845107049401,-0.02799999999999998,-0.04750000000000001,-0.004482758620689659,Improving
CANCAND,PH_epi,38,0.07719896494354911,0.5049766509524307,0.002272727272727265,-0.0034374999999999822,0.007307692307692322,Stable
CANCAND,SECCHI_NVS,38,0.062329904104961774,0.5963804007439593,0.0038461538461538325,-0.015625,0.0285714285714286,Stable
CANCAND,TP_epi,38,-0.20839287158358155,0.07784787378447502,-0.045454545454545456,-0.10833333333333332,0,Stable
CANCAND,TP_hypo,38,-0.22994963204168717,0.05178938235146781,-0.05,-0.125,0,Stable
